date,temp_max,temp_min,precipitation,rain,weather_code
2020-04-04,13.4,3.8,2.4,2.4,53
2020-04-05,5.4,1.9,0.0,0.0,3
2020-04-06,13.1,0.6,0.7,0.7,51
2020-04-07,23.9,9.8,12.9,12.9,63
2020-04-08,17.4,5.8,3.0,3.0,61
2020-04-09,8.2,4.1,1.9,1.9,61
2020-04-10,7.4,0.0,0.0,0.0,3
2020-04-11,16.4,3.9,0.2,0.2,51
2020-04-12,18.4,8.1,4.3,4.3,53
2020-04-13,13.1,2.2,2.4,2.4,53
2020-04-14,4.9,-2.3,1.0,0.0,73
2020-04-15,3.7,-2.8,2.5,0.0,73
2020-04-16,8.2,-3.3,0.0,0.0,3
2020-04-17,5.5,0.9,7.5,0.5,73
2020-04-18,13.1,-0.4,0.0,0.0,3
2020-04-19,13.5,5.7,0.2,0.2,51
2020-04-20,15.6,-0.1,0.4,0.4,51
2020-04-21,13.1,2.4,0.7,0.7,51
2020-04-22,14.1,1.9,2.9,2.3,73
2020-04-23,13.1,6.4,1.2,1.2,51
2020-04-24,7.2,4.8,1.0,1.0,53
2020-04-25,7.1,4.3,14.2,14.2,61
2020-04-26,11.5,5.2,3.3,3.3,61
2020-04-27,18.4,2.1,0.9,0.9,53
2020-04-28,19.5,8.2,6.9,6.9,61
2020-04-29,17.2,8.5,38.0,38.0,63
2020-04-30,8.9,4.8,19.6,19.6,63
2020-05-01,14.6,1.6,0.0,0.0,3
2020-05-02,23.8,10.4,0.4,0.4,51
2020-05-03,19.8,11.5,0.0,0.0,3
2020-05-04,18.5,3.7,0.0,0.0,3
2020-05-05,7.9,4.1,5.9,5.9,53
2020-05-06,12.4,3.6,0.2,0.2,51
2020-05-07,17.5,7.4,0.0,0.0,3
2020-05-08,7.5,3.0,0.0,0.0,3
2020-05-09,12.8,-1.2,0.0,0.0,3
2020-05-10,12.4,3.6,6.6,6.6,61
2020-05-11,6.8,3.1,1.1,1.1,53
2020-05-12,13.9,2.8,0.0,0.0,3
2020-05-13,17.4,5.3,0.0,0.0,3
2020-05-14,22.0,10.8,15.3,15.3,63
2020-05-15,20.2,12.6,10.3,10.3,61
2020-05-16,17.5,7.2,0.0,0.0,3
2020-05-17,20.1,8.3,35.2,35.2,63
2020-05-18,18.0,11.7,26.6,26.6,65
2020-05-19,14.6,9.6,1.8,1.8,53
2020-05-20,15.4,10.1,0.2,0.2,51
2020-05-21,15.8,10.1,0.0,0.0,3
2020-05-22,16.6,10.1,0.3,0.3,51
2020-05-23,22.2,10.4,13.5,13.5,63
2020-05-24,27.7,16.1,5.5,5.5,63
2020-05-25,27.4,19.5,1.1,1.1,53
2020-05-26,26.4,20.0,2.6,2.6,61
2020-05-27,25.4,20.2,3.6,3.6,61
2020-05-28,24.1,19.1,12.1,12.1,63
2020-05-29,22.7,14.6,8.1,8.1,61
2020-05-30,17.2,12.6,1.3,1.3,53
2020-05-31,14.6,9.4,0.0,0.0,3
2020-06-01,20.0,10.4,1.2,1.2,53
2020-06-02,30.0,18.4,0.0,0.0,3
2020-06-03,29.7,21.1,1.2,1.2,53
2020-06-04,26.5,18.0,1.0,1.0,51
2020-06-05,29.8,19.1,0.2,0.2,51
2020-06-06,27.1,15.8,0.0,0.0,3
2020-06-07,21.4,12.6,0.0,0.0,3
2020-06-08,28.5,17.0,0.0,0.0,3
2020-06-09,30.0,20.2,5.2,5.2,61
2020-06-10,28.0,20.9,11.0,11.0,63
2020-06-11,25.2,14.4,1.0,1.0,53
2020-06-12,24.2,14.1,0.0,0.0,3
2020-06-13,16.5,12.4,1.9,1.9,53
2020-06-14,17.8,12.5,0.0,0.0,3
2020-06-15,19.9,12.0,0.0,0.0,3
2020-06-16,25.1,14.2,0.0,0.0,0
2020-06-17,27.5,16.2,0.0,0.0,1
2020-06-18,28.2,17.0,0.0,0.0,1
2020-06-19,30.9,19.0,0.0,0.0,3
2020-06-20,31.6,20.6,0.1,0.1,51
2020-06-21,26.4,21.0,16.1,16.1,63
